"Statistic Label","Quarter","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q2","Female","Information and communication (J)","Thousand","29.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q2","Female","Professional, scientific and technical activities (M)","Thousand","53.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q2","Female","Administrative and support service activities (N)","Thousand","41.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q2","Female","Public administration and defence, compulsory social security (O)","Thousand","45.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q2","Female","Education (P)","Thousand","103.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q2","Female","Human health and social work activities (Q)","Thousand","194.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q2","Female","Industry (B to E)","Thousand","82.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q2","Female","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q2","Female","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q2","Female","Financial, insurance and real estate activities (K,L)","Thousand","60.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q2","Female","Other NACE activities (R to U)","Thousand","65.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q2","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","All NACE economic sectors","Thousand","2189.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Agriculture, forestry and fishing (A)","Thousand","111.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Construction (F)","Thousand","201.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","323.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Transportation and storage (H)","Thousand","92.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Accommodation and food service activities (I)","Thousand","139.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Information and communication (J)","Thousand","87.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Professional, scientific and technical activities (M)","Thousand","125.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Administrative and support service activities (N)","Thousand","93.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","98.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Education (P)","Thousand","142.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Human health and social work activities (Q)","Thousand","237.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Industry (B to E)","Thousand","306.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","109.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Other NACE activities (R to U)","Thousand","112.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Both sexes","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","All NACE economic sectors","Thousand","1226.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Agriculture, forestry and fishing (A)","Thousand","95.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Construction (F)","Thousand","192.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","152.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Transportation and storage (H)","Thousand","75.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Accommodation and food service activities (I)","Thousand","63.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Information and communication (J)","Thousand","58.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Professional, scientific and technical activities (M)","Thousand","75.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Administrative and support service activities (N)","Thousand","52.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Public administration and defence, compulsory social security (O)","Thousand","52.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Education (P)","Thousand","38.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Human health and social work activities (Q)","Thousand","46.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Industry (B to E)","Thousand","220.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Financial, insurance and real estate activities (K,L)","Thousand","49.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Other NACE activities (R to U)","Thousand","48.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","All NACE economic sectors","Thousand","964.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Agriculture, forestry and fishing (A)","Thousand","15.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Construction (F)","Thousand","10.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","170.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Transportation and storage (H)","Thousand","16.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Accommodation and food service activities (I)","Thousand","75"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Information and communication (J)","Thousand","29.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Professional, scientific and technical activities (M)","Thousand","50.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Administrative and support service activities (N)","Thousand","41.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Public administration and defence, compulsory social security (O)","Thousand","46.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Education (P)","Thousand","104.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Human health and social work activities (Q)","Thousand","190.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Industry (B to E)","Thousand","86.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Financial, insurance and real estate activities (K,L)","Thousand","59.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Other NACE activities (R to U)","Thousand","65.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q3","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","All NACE economic sectors","Thousand","2149.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Agriculture, forestry and fishing (A)","Thousand","117.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Construction (F)","Thousand","189.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","313.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Transportation and storage (H)","Thousand","88.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Accommodation and food service activities (I)","Thousand","127.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Information and communication (J)","Thousand","85.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Professional, scientific and technical activities (M)","Thousand","124.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Administrative and support service activities (N)","Thousand","86.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","97.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Education (P)","Thousand","147.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Human health and social work activities (Q)","Thousand","246.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Industry (B to E)","Thousand","291.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","113.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Other NACE activities (R to U)","Thousand","109"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Both sexes","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","All NACE economic sectors","Thousand","1194"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Agriculture, forestry and fishing (A)","Thousand","100.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Construction (F)","Thousand","180"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","147.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Transportation and storage (H)","Thousand","73"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Accommodation and food service activities (I)","Thousand","60.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Information and communication (J)","Thousand","55.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Professional, scientific and technical activities (M)","Thousand","74.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Administrative and support service activities (N)","Thousand","50.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Public administration and defence, compulsory social security (O)","Thousand","51.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Education (P)","Thousand","39.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Human health and social work activities (Q)","Thousand","48.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Industry (B to E)","Thousand","210.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Financial, insurance and real estate activities (K,L)","Thousand","50.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Other NACE activities (R to U)","Thousand","44"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","All NACE economic sectors","Thousand","954.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Agriculture, forestry and fishing (A)","Thousand","16.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Construction (F)","Thousand","9.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","166"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Transportation and storage (H)","Thousand","15.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Accommodation and food service activities (I)","Thousand","67"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Information and communication (J)","Thousand","29.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Professional, scientific and technical activities (M)","Thousand","49.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Administrative and support service activities (N)","Thousand","35.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Public administration and defence, compulsory social security (O)","Thousand","46.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Education (P)","Thousand","108"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Human health and social work activities (Q)","Thousand","198.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Industry (B to E)","Thousand","81.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Financial, insurance and real estate activities (K,L)","Thousand","62.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Other NACE activities (R to U)","Thousand","64.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2008Q4","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","All NACE economic sectors","Thousand","2069"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Agriculture, forestry and fishing (A)","Thousand","112.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Construction (F)","Thousand","157.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","303.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Transportation and storage (H)","Thousand","90.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Accommodation and food service activities (I)","Thousand","129.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Information and communication (J)","Thousand","88.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Professional, scientific and technical activities (M)","Thousand","113"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Administrative and support service activities (N)","Thousand","84.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","97.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Education (P)","Thousand","145.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Human health and social work activities (Q)","Thousand","241.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Industry (B to E)","Thousand","279"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","109.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Other NACE activities (R to U)","Thousand","106.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Both sexes","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","All NACE economic sectors","Thousand","1132.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Agriculture, forestry and fishing (A)","Thousand","96.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Construction (F)","Thousand","148.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","141.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Transportation and storage (H)","Thousand","74.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Accommodation and food service activities (I)","Thousand","61.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Information and communication (J)","Thousand","58.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Professional, scientific and technical activities (M)","Thousand","70.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Administrative and support service activities (N)","Thousand","46.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Public administration and defence, compulsory social security (O)","Thousand","52.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Education (P)","Thousand","38.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Human health and social work activities (Q)","Thousand","46.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Industry (B to E)","Thousand","198"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Financial, insurance and real estate activities (K,L)","Thousand","49.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Other NACE activities (R to U)","Thousand","42.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","All NACE economic sectors","Thousand","936.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Agriculture, forestry and fishing (A)","Thousand","15.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Construction (F)","Thousand","8.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","162.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Transportation and storage (H)","Thousand","16.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Accommodation and food service activities (I)","Thousand","67.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Information and communication (J)","Thousand","29.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Professional, scientific and technical activities (M)","Thousand","43.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Administrative and support service activities (N)","Thousand","37.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Public administration and defence, compulsory social security (O)","Thousand","44.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Education (P)","Thousand","106.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Human health and social work activities (Q)","Thousand","194.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Industry (B to E)","Thousand","80.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Financial, insurance and real estate activities (K,L)","Thousand","59.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Other NACE activities (R to U)","Thousand","63.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q1","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","All NACE economic sectors","Thousand","2027.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Agriculture, forestry and fishing (A)","Thousand","113.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Construction (F)","Thousand","133.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","294.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Transportation and storage (H)","Thousand","90.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Accommodation and food service activities (I)","Thousand","133.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Information and communication (J)","Thousand","87.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Professional, scientific and technical activities (M)","Thousand","111"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Administrative and support service activities (N)","Thousand","83.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","96.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Education (P)","Thousand","142.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Human health and social work activities (Q)","Thousand","245.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Industry (B to E)","Thousand","269.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","111.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Other NACE activities (R to U)","Thousand","103.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Both sexes","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","All NACE economic sectors","Thousand","1100.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Agriculture, forestry and fishing (A)","Thousand","97.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Construction (F)","Thousand","124.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","135.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Transportation and storage (H)","Thousand","74.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Accommodation and food service activities (I)","Thousand","66.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Information and communication (J)","Thousand","58.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Professional, scientific and technical activities (M)","Thousand","68.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Administrative and support service activities (N)","Thousand","46.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Public administration and defence, compulsory social security (O)","Thousand","50.3"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Education (P)","Thousand","37.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Human health and social work activities (Q)","Thousand","49.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Industry (B to E)","Thousand","191.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Financial, insurance and real estate activities (K,L)","Thousand","52"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Other NACE activities (R to U)","Thousand","41.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","All NACE economic sectors","Thousand","927.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Agriculture, forestry and fishing (A)","Thousand","15.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Construction (F)","Thousand","8.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","159.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Transportation and storage (H)","Thousand","16.2"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Accommodation and food service activities (I)","Thousand","67.7"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Information and communication (J)","Thousand","29.4"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Professional, scientific and technical activities (M)","Thousand","42.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Administrative and support service activities (N)","Thousand","36.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Public administration and defence, compulsory social security (O)","Thousand","46.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Education (P)","Thousand","104.8"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Human health and social work activities (Q)","Thousand","196.6"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Industry (B to E)","Thousand","78.1"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Industry and Construction (B to F)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Services (G to U)","Thousand",""
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Financial, insurance and real estate activities (K,L)","Thousand","59.9"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Other NACE activities (R to U)","Thousand","61.5"
"Persons aged 15-89 years in Employment (Seasonally Adjusted)","2009Q2","Female","Not stated","Thousand",""
